,time,hight,temp,disp,type
0,119.9999988,0.0,293.15,0.0,255.64999999999998
1,240.00000119999999,0.0,293.15,0.0,255.64999999999998
2,360.0,0.0,293.15,0.0,255.64999999999998
3,479.9999988,0.0,293.15,0.0,255.64999999999998
4,600.0000011999999,0.0,293.15,0.0,255.64999999999998
5,720.0,0.0,293.15,0.0,255.64999999999998
6,839.9999988,0.0,293.15,0.0,255.64999999999998
7,960.0000012,0.0,293.15,0.0,255.64999999999998
8,1080.0,0.0,293.15,0.0,255.64999999999998
9,1199.9999988,0.0,293.15,0.0,255.64999999999998
10,1320.0000012,0.0,293.15,0.0,255.64999999999998
11,1440.0,0.0,293.15,0.0,255.64999999999998
12,1559.9999988,0.0,293.15,0.0,255.64999999999998
13,1680.0000011999998,0.0,293.15,0.0,255.64999999999998
14,1800.0,0.0,293.15,0.0,255.64999999999998
15,1919.9999988,0.0,293.15,0.0,255.64999999999998
16,2040.0000012,0.0,293.15,0.0,255.64999999999998
17,2160.0,0.0,293.15,0.0,255.64999999999998
18,2279.9999988000004,0.0,293.15,0.0,255.64999999999998
19,2400.0000012,0.0,293.15,0.0,255.64999999999998
20,2520.0,0.0,293.15,0.0,255.64999999999998
21,2639.9999988,0.0,293.15,0.0,255.64999999999998
22,2760.0000012,0.0,293.15,0.0,255.64999999999998
23,2880.0,0.0,293.15,0.0,255.64999999999998
24,2999.9999988,0.0,293.15,0.0,255.64999999999998
25,3120.0000011999996,0.0,293.15,0.0,255.64999999999998
26,3240.0,0.0,293.15,0.0,255.64999999999998
27,3359.9999988,0.0,293.15,0.0,255.64999999999998
28,3480.0000012,0.0,293.15,0.0,255.64999999999998
29,3600.0,0.0,293.15,0.0,255.64999999999998
30,3719.9999988000004,0.0,293.15,0.0,255.64999999999998
31,3840.0000012,0.0,293.15,0.0,255.64999999999998
32,3960.0000000000005,0.0,293.15,0.0,255.64999999999998
33,4079.9999988,0.0,293.15,0.0,255.64999999999998
34,4200.0000012,0.0,293.15,0.0,255.64999999999998
35,4320.0,0.0,293.15,0.0,255.64999999999998
36,4439.9999988,0.0,293.15,0.0,255.64999999999998
37,4560.0000012,0.0,293.15,0.0,255.64999999999998
38,4680.0,0.0,293.15,0.0,255.64999999999998
39,4799.9999988,0.0,293.15,0.0,255.64999999999998
40,4920.0000012,0.0,293.15,0.0,255.64999999999998
41,5040.0,0.0,293.15,0.0,255.64999999999998
42,5159.9999988,0.0,293.15,0.0,255.64999999999998
43,5280.0000012,0.0,293.15,0.0,255.64999999999998
44,5400.0,0.0,293.15,0.0,255.64999999999998
45,5519.9999988,0.0,293.15,0.0,255.64999999999998
46,5640.0000012,0.0,293.15,0.0,255.64999999999998
47,5760.0,0.0,293.15,0.0,255.64999999999998
48,5879.9999988,0.0,293.15,0.0,255.64999999999998
49,6000.0000012,0.0,293.15,0.0,255.64999999999998
50,6120.0,0.0,293.15,0.0,255.64999999999998
51,6239.9999988,0.0,293.15,0.0,255.64999999999998
52,6360.0000012,0.0,293.15,0.0,255.64999999999998
53,6480.0,0.0,293.15,0.0,255.64999999999998
54,6599.9999988,0.0,293.15,0.0,255.64999999999998
55,6720.0000012,0.0,293.15,0.0,255.64999999999998
56,6840.0,0.0,293.15,0.0,255.64999999999998
57,6959.9999988,0.0,293.15,0.0,255.64999999999998
58,7080.0000012,0.0,293.15,0.0,255.64999999999998
59,7200.0,0.0,293.15,0.0,255.64999999999998
60,7319.999998799999,0.0,293.15,0.0,255.64999999999998
61,7440.000001199999,0.0,293.15,0.0,255.64999999999998
62,7560.0,0.0,293.15,0.0,255.64999999999998
63,7679.9999988,0.0,293.15,0.0,255.64999999999998
64,7800.000001199999,0.0,293.15,0.0,255.64999999999998
65,7920.000000000001,0.0,293.15,0.0,255.64999999999998
66,8039.9999988,0.0,293.15,0.0,255.64999999999998
67,8160.0000012,0.0,293.15,0.0,255.64999999999998
68,8280.0,0.0,293.15,0.0,255.64999999999998
69,8399.9999988,0.0,293.15,0.0,255.64999999999998
70,8520.0000012,0.0,293.15,0.0,255.64999999999998
71,8640.0,0.0,293.15,0.0,255.64999999999998
72,8759.9999988,0.0,293.15,0.0,255.64999999999998
73,8880.0000012,0.0,293.15,0.0,255.64999999999998
74,9000.0,0.0,293.15,0.0,255.64999999999998
75,9119.9999988,0.0,293.15,0.0,255.64999999999998
76,9240.0000012,0.0,293.15,0.0,255.64999999999998
77,9360.0,0.0,293.15,0.0,255.64999999999998
78,9479.9999988,0.0,293.15,0.0,255.64999999999998
79,9600.0000012,0.0,293.15,0.0,255.64999999999998
80,9720.0,0.0,293.15,0.0,255.64999999999998
81,9839.9999988,0.0,293.15,0.0,255.64999999999998
82,9960.0000012,0.0,293.15,0.0,255.64999999999998
83,10080.0,0.0,293.15,0.0,255.64999999999998
84,10199.9999988,0.0,293.15,0.0,255.64999999999998
85,10320.0000012,0.0,293.15,0.0,255.64999999999998
86,10440.0,0.0,293.15,0.0,255.64999999999998
87,10559.9999988,0.0,293.15,0.0,255.64999999999998
88,10680.0000012,0.0,293.15,0.0,255.64999999999998
89,10800.0,0.0,293.15,0.0,255.64999999999998
90,10919.9999988,0.0,293.15,0.0,255.64999999999998
91,11040.0000012,0.0,293.15,0.0,255.64999999999998
92,11160.0,0.0,293.15,0.0,255.64999999999998
93,11279.9999988,0.0,293.15,0.0,255.64999999999998
94,11400.0000012,0.0,293.15,0.0,255.64999999999998
95,11520.0,0.0,293.15,0.0,255.64999999999998
96,11639.9999988,0.0,293.15,0.0,255.64999999999998
