h_tot_m [mm],PT8_w_m [°C],PT6_m [°C],PT5_m [°C],PT4_m [°C],PT3_m [°C],PT3_m [°C],PT1_c_m [°C],time_h_m [h]
0.444338822,16.02122,12.88482,10.58025,7.694434,3.922998,3.922998,-6.173479,1.933333333
0.456861522,15.98936,12.83385,10.51087,7.638428,3.860987,3.860987,-6.201229,1.966666667
0.470753672,15.97251,12.76196,10.44679,7.558708,3.802637,3.802637,-6.224691,2
0.477480922,15.91636,12.69813,10.36228,7.477474,3.719385,3.719385,-6.269092,2.033333333
0.484259622,15.90122,12.64767,10.32166,7.418441,3.654688,3.654688,-6.291797,2.066666667
0.494031922,15.82578,12.56139,10.22807,7.294067,3.567407,3.567407,-6.363192,2.1
0.502675072,15.79575,12.48975,10.15667,7.237305,3.49502,3.49502,-6.39952,2.133333333
0.510107972,15.78281,12.47133,10.12489,7.176506,3.471338,3.471338,-6.385645,2.166666667
0.517193772,15.72422,12.38581,10.03646,7.097795,3.38711,3.38711,-6.41945,2.2
0.522109022,15.68796,12.32829,9.956365,7.031698,3.322901,3.322901,-6.437866,2.233333333
0.527561172,15.65635,12.2685,9.897584,6.956266,3.265284,3.265284,-6.497152,2.266666667
0.533041022,15.60386,12.21476,9.827703,6.903036,3.211084,3.211084,-6.506739,2.3
0.539409672,15.62144,12.213,9.813827,6.8715,3.201075,3.201075,-6.494377,2.333333333
0.548665022,15.56162,12.1305,9.713168,6.774626,3.100855,3.100855,-6.557699,2.366666667
0.559608422,15.49961,12.05873,9.646314,6.706385,3.041895,3.041895,-6.579395,2.4
0.569152822,15.45152,12.00121,9.582488,6.660596,2.983789,2.983789,-6.613831,2.433333333
0.578023922,15.38267,11.91077,9.501001,6.554892,2.894434,2.894434,-6.673621,2.466666667
0.590332972,15.38547,11.88983,9.467954,6.525627,2.867579,2.867579,-6.659872,2.5
0.604384422,15.33799,11.82827,9.398576,6.474162,2.830713,2.830713,-6.682325,2.533333333
0.613411922,15.34043,11.82297,9.374862,6.438086,2.800196,2.800196,-6.671981,2.566666667
0.624117872,15.26792,11.71071,9.278996,6.341464,2.705469,2.705469,-6.742619,2.6
0.635000222,15.21128,11.65168,9.207349,6.277133,2.656641,2.656641,-6.758261,2.633333333
0.646551122,15.14097,11.5876,9.11779,6.189087,2.554834,2.554834,-6.808968,2.666666667
0.658016222,15.12534,11.55468,9.09786,6.152255,2.541895,2.541895,-6.800139,2.7
0.664854022,15.09776,11.49981,9.045386,6.105078,2.498682,2.498682,-6.835962,2.733333333
0.671508772,15.05772,11.44884,8.984839,6.027124,2.445703,2.445703,-6.854631,2.766666667
0.680491472,14.99424,11.36484,8.894019,5.946648,2.38125,2.38125,-6.895752,2.8
0.688754072,14.96714,11.3555,8.863746,5.928483,2.360498,2.360498,-6.874308,2.833333333
0.697798772,14.94517,11.28966,8.820102,5.865414,2.295801,2.295801,-6.906096,2.866666667
0.707571972,14.88755,11.25055,8.765609,5.841447,2.266992,2.266992,-6.923756,2.9
0.715442672,14.86753,11.19329,8.712883,5.781909,2.205835,2.205835,-6.923502,2.933333333
0.723284722,14.84116,11.16226,8.683619,5.723633,2.181299,2.181299,-6.923756,2.966666667
0.731521622,14.77207,11.08153,8.611467,5.65678,2.114893,2.114893,-6.9896,3
0.740766522,14.74461,11.01896,8.540955,5.594719,2.066699,2.066699,-6.9896,3.033333333
0.751833922,14.71238,10.99197,8.520394,5.574789,2.040967,2.040967,-7.010791,3.066666667
0.762343422,14.66782,10.95236,8.473975,5.526855,1.992782,1.992782,-7.019117,3.1
0.772027972,14.6229,10.87617,8.430836,5.466309,1.949138,1.949138,-7.033245,3.133333333
0.782339122,14.58604,10.83505,8.386687,5.403491,1.884302,1.884302,-7.041569,3.166666667
0.799748372,14.55259,10.79645,8.327149,5.369938,1.865759,1.865759,-7.055697,3.2
0.810611722,14.47837,10.73162,8.256007,5.286182,1.794238,1.794238,-7.087484,3.233333333
0.824275972,14.44028,10.6635,8.216146,5.272054,1.759676,1.759676,-7.102621,3.266666667
0.833029722,14.421,10.63499,8.169349,5.204696,1.721835,1.721835,-7.139075,3.3
0.842310922,14.37616,10.59639,8.120532,5.177702,1.681218,1.681218,-7.126083,3.333333333
0.850081422,14.30741,10.52223,8.041317,5.118921,1.622941,1.622941,-7.166447,3.366666667
0.859388372,14.2948,10.50381,8.057211,5.096363,1.616382,1.616382,-7.152067,3.4
0.868559872,14.27411,10.47656,8.001204,5.053857,1.58182,1.58182,-7.158375,3.433333333
0.876871072,14.21205,10.38473,7.917449,4.980371,1.514966,1.514966,-7.216114,3.466666667
0.887534872,14.19717,10.37262,7.904078,4.983545,1.505884,1.505884,-7.205632,3.5
0.898053322,14.15151,10.31119,7.833187,4.913232,1.441301,1.441301,-7.222706,3.533333333
0.909835722,14.12022,10.30022,7.82461,4.922021,1.454924,1.454924,-7.200733,3.566666667
0.921193122,14.08894,10.25784,7.785633,4.855615,1.419605,1.419605,-7.220997,3.6
0.932392822,14.04757,10.20486,7.72496,4.804834,1.372429,1.372429,-7.237598,3.633333333
0.946175672,14.01679,10.17761,7.6962,4.771387,1.326766,1.326766,-7.257374,3.666666667
0.958375172,13.96078,10.10193,7.636915,4.706689,1.274544,1.274544,-7.281544,3.7
0.971428922,13.94615,10.1042,7.61875,4.697656,1.257137,1.257137,-7.27837,3.733333333
0.987191022,13.90705,10.03835,7.568295,4.657617,1.240991,1.240991,-7.295216,3.766666667
1.001121322,13.84171,9.977808,7.492611,4.589868,1.180192,1.180192,-7.315479,3.8
1.016394472,13.8185,9.941731,7.454012,4.560693,1.135791,1.135791,-7.321216,3.833333333
1.027588122,13.77031,9.885221,7.41781,4.514062,1.112581,1.112581,-7.334033,3.866666667
1.038044022,13.75366,9.865293,7.370508,4.494043,1.095427,1.095427,-7.327198,3.9
1.049197172,13.69488,9.795915,7.309709,4.440576,1.042448,1.042448,-7.364552,3.933333333
1.058671022,13.66486,9.763876,7.287508,4.404199,1.010409,1.010409,-7.38335,3.966666667
1.067822572,13.64443,9.739909,7.238819,4.387598,0.9735759,0.9735759,-7.384083,4
1.076185972,13.61415,9.715943,7.224186,4.346826,0.9636109,0.9636109,-7.380177,4.033333333
1.086923522,13.57253,9.654639,7.161117,4.307886,0.9332113,0.9332113,-7.386524,4.066666667
1.094395722,13.54377,9.614148,7.131853,4.288721,0.911263,0.911263,-7.397999,4.1
1.103629922,13.48473,9.535816,7.075342,4.221582,0.8481934,0.8481934,-7.421558,4.133333333
1.115049172,13.43428,9.503524,7.021228,4.181543,0.8088379,0.8088379,-7.456104,4.166666667
1.125352072,13.42015,9.489144,7.008488,4.163232,0.8058106,0.8058106,-7.451954,4.2
1.136623122,13.39946,9.462151,6.980485,4.141992,0.7788168,0.7788168,-7.43462,4.233333333
1.149028572,13.39038,9.437932,6.95778,4.116846,0.7707439,0.7707439,-7.45293,4.266666667
1.162033172,13.30032,9.347112,6.874276,4.05581,0.6915284,0.6915284,-7.487598,4.3
1.175723672,13.29502,9.323145,6.863428,4.033594,0.6956909,0.6956909,-7.470509,4.333333333
1.186023672,13.25541,9.287574,6.824325,3.995996,0.6680664,0.6680664,-7.474903,4.366666667
1.198096172,13.17443,9.232326,6.751921,3.925928,0.6100424,0.6100424,-7.532154,4.4
1.210524172,13.17658,9.188176,6.743848,3.898829,0.5747233,0.5747233,-7.522266,4.433333333
